Proyecto/Cargo,Asignacion,Tarjeta grafica,Memoria,Almacenamiento,Procesador,Monitor,Teclado,Mouse,SO,SW relevante instalado,Mantenimiento
Proyectos Colivri,Disponible,NVIDIA GEFORCE GTX 260 896MB,12GB,HDD 1 TB/HDD (desconocido),INTEL CORE I7 930,DELL P2214H,DELL Y-U0008-O,DELL MOC5UO,Windows 10 enterprise,Sin informacion disponible,Necesita- esta lento
Proyectos Colivri,Disponible,NVIDIA GEFORCE GTX 260 896MB,12GB,HDD 1 TB/HDD (desconocido),INTEL CORE I7 930,DELL P2214H,DELL Y-U0008-O,DELL MOC5UO,Windows 10 enterprise,Sin informacion disponible,Necesita- esta lento
